country,policy,status,local_national,gov_non-gov,type,subtype,stability,justice,foreign,climate,start_day,start_month,start_year,end_day,end_moth,end_year,source1,text1,source2,text2,source3,text3,source4,text4,source5,text5,source 6,text6,source7,text7,source8,text8,source9,text9,source10,text10,source11,text11,source12,text12
Austria,climate ticket,existed,national,gov,subsidy public transport,,0,0,0,0,26,10,2021,31,12,2100,https://www.bmk.gv.at/service/presse/gewessler/20210930_klimaticket.html,"With the KlimaMonat, everyone who owns a KlimaTicket Ö gets an additional month of validity if the ticket is extended until June 30, 2023. You can then use all participating public transport in Austria for the same price for 13 months with a single ticket!
 
With the KlimaTicket Ö, you can use all participating public transport throughout Austria for €1,095 per year. The thirteenth month therefore means savings of just over €91. With the discounted tickets for young people, senior citizens and people with disabilities for €821, the climate month brings savings of just over €68. With the Austria-wide KlimaTicket Familie for €1,205 it is just over €100.",https://infothek.bmk.gv.at/klimaticket-ab-juli-gibt-es-einen-13-klimamonat-gratis-dazu/,"Climate month promotion applies to new customers and extensions - Gewessler: ""Protects the climate and protects against inflation""

If you buy an Austria-wide KlimaTicket between the beginning of July and the end of December 2022, you can travel with it for thirteen months instead of twelve - and at no additional cost. For loyal customers who already have an Austria-wide KlimaTicket and extend it after one year, the campaign is even valid until the end of June 2023.

     Who between 1.7. Decides on a #KlimaTicket on December 31st and 31st, 2022, you will also receive a free #KlimaMonat and can use all public transport for 13 months. PS: For customers who already have a KlimaTicket Ö and want to extend it, the campaign is valid until the end of June 2023. pic.twitter.com/lNPIVoe9Xg [...]",https://www.bundeskanzleramt.gv.at/eu-aufbauplan/aktuelles/klimaticket-in-oesterreich-kostenloses-zusatzmonat.html,,"Federal Ministry for Climate Protection, Environment, Energy, Mobility, Innovation and Technology Kilian Klinger kilian.klinger@bmk.gv.at ","Extension of the climate ticket by one month (climate month) (07/01/2022-12/31/2022)

This is certainly a good example of a transport-related measure that can also be seen in the context of the 2022 energy crisis. https://www.bmk.gv.at/service/presse/gewessler/20220616_klimaticket.html

There was also an increase in funding for the regional climate tickets. An additional 80 million euros are made available annually to relieve commuters.",,,,,,,,,,,,,,,,
Austria,"introduction of carbon tax (""Einführungsphase"")",cancelled,national,gov,postponed increase carbon tax,,1,1,0,0,1,10,2022,31,12,2023,https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011818,"National emissions certificate trading begins on October 1, 2022 and is divided into the following phases:
 
 1.
 Fixed price phase divided into
 –
 Introductory phase from October 1, 2022 to December 31, 2023,
 –
 Transition phase planned from January 1, 2024 to December 31, 2025 and
 2.
 Market phase from January 1, 2026
 
 § 10
 text
 Output value of national emission certificates in the fixed price phase
 § 10.
 
 (1) The national emission certificates have an issue value of [...]",https://www.wko.at/branchen/ooe/handel/energiehandel/CO2-Steuer-Auswirkungen-auf-den-Energiehandel-ab-1.10..html,"The CO2 tax was postponed to October 1, 2022 in June. Although this additional increase in price comes at an inopportune time and the Chamber of Commerce is therefore calling for another postponement, it is important to prepare for October 1st. [...]",,,,,,,,,,,,,,,,,,,,
Austria,"increase in validity period of climate ticket from 12 to 13 monthes (""Klimamonat"")",implemented,national,gov,subsidy public transport,,0.5,1,1,1,1,7,2022,31,12,2022,https://www.klimaticket.at/de/#was-ist-das-klimaticket,"With the KlimaMonat, everyone who owns a KlimaTicket Ö gets an additional month of validity if the ticket is extended until June 30, 2023. You can then use all participating public transport in Austria for the same price for 13 months with a single ticket!
 
 With the KlimaTicket Ö, you can use all participating public transport throughout Austria for €1,095 per year. The thirteenth month therefore means savings of just over €91. With the discounted tickets for young people, senior citizens and people with disabilities for €821, the climate month brings savings of just over €68. With the Austria-wide KlimaTicket Familie for €1,205 it is just over €100.",https://infothek.bmk.gv.at/klimaticket-ab-juli-gibt-es-einen-13-klimamonat-gratis-dazu/,"Climate month promotion applies to new customers and extensions - Gewessler: ""Protects the climate and protects against inflation""
 
 If you buy an Austria-wide KlimaTicket between the beginning of July and the end of December 2022, you can travel with it for thirteen months instead of twelve - and at no additional cost. For loyal customers who already have an Austria-wide KlimaTicket and extend it after one year, the campaign is even valid until the end of June 2023.
 
 Who between 1.7. Decides on a #KlimaTicket on December 31st and 31st, 2022, you will also receive a free #KlimaMonat and can use all public transport for 13 months. PS: For customers who already have a KlimaTicket Ö and want to extend it, the campaign is valid until the end of June 2023. pic.twitter.com/lNPIVoe9Xg [...]",https://www.bundeskanzleramt.gv.at/eu-aufbauplan/aktuelles/klimaticket-in-oesterreich-kostenloses-zusatzmonat.html,"If you buy an Austria-wide KlimaTicket from the beginning of July to the end of December 2022, you can use it for 13 instead of 12 months on public transport - at no additional cost. Customers who have already purchased an Austria-wide KlimaTicket and are renewing it after one year can even benefit from the campaign until the end of June 2023. The 13th month means savings of just over 91 euros at a full price of 1,095 euros. With the discounted tickets for young people, senior citizens and people with disabilities (total price: 821 euros), the free additional ""climate month"" brings savings of just over 68 euros. With the Austria-wide KlimaTicket Familie (total price: 1,205 euros) the saving is just over 100 euros. The promotion also applies to installment payments; in this case, the proportionately reduced amount will be debited 13 times. [...]","Federal Ministry for Climate Protection, Environment, Energy, Mobility, Innovation and Technology Kilian Klinger kilian.klinger@bmk.gv.at","Extension of the climate ticket by one month (climate month) (07/01/2022-12/31/2022)
 
 This is certainly a good example of a transport-related measure that can also be seen in the context of the 2022 energy crisis. https://www.bmk.gv.at/service/presse/gewessler/20220616_klimaticket.html
 
 There was also an increase in funding for the regional climate tickets. An additional 80 million euros are made available annually to relieve commuters.",,,,,,,,,,,,,,,,
Austria,"increase in commuting subsidy (""Pendlerpauschale"")",increased,national,gov,transfer payments,commuting subsidy,1,1,0,0,1,5,2022,30,6,2023,https://www.wko.at/service/steuern/Pendlerpauschale-und-Pendlereuro.html,"Commuter euro – temporary increase from May 2022 to June 2023
 
 So far, the commuter euro has been entitled to an annual amount of EUR 2 per kilometer of one-way travel between home and work if the employee is entitled to a commuter allowance.
 
 The commuter euro will now be quadrupled: for the period from May 2022 to June 2023, an additional commuter euro of EUR 0.50 per month (EUR 6 per year) per kilometer of one-way travel between home and work is also available.
 
 In the period from May 2022 to June 2023, the commuter euro will be EUR 8 per kilometer of one-way travel between home and work.
 
 For part-time employees, the commuter euro is aliquoted as with the commuter flat rate (see below). The commuter euro is taken into account by the employer in the ongoing payroll accounting. [...]",https://www.bmf.gv.at/public/informationen/energiekosten-abfederung.html,"50% increase in the commuter allowance and quadrupling the commuter euro by June 30, 2023. One-time negative taxable amount of 100 euros for negative tax recipients. This brings a relief of over 400 million euros.",https://www.bmf.gv.at/themen/steuern/arbeitnehmerinnenveranlagung/pendlerfoerderung-das-pendlerpauschale/allgemeines-zum-pendlerpauschale.html,"Bitte beachten Sie, dass in den Monaten Mai 2022 bis Juni 2023 für die Ermittlung des Pendlerpauschales und des Pendlereuro geänderte Werte zu berücksichtigen sind.
 
 Diese finden Sie unten auf dieser Seite unter ""Erhöhtes Pendlerpauschale von Mai 2022 bis Juni 2023"".",,,,,,,,,,,,,,,,,,
Austria,"increase in communting euro (""Pendlereuro"")",increased,national,gov,transfer payments,commuting subsidy,1,1,0,0,1,5,2022,30,6,2023,https://www.wko.at/service/steuern/befristete-erhoehung-pendlerpauschale-pendlereuro.html,"So far, the commuter euro has been entitled to an annual amount of 2 euros per kilometer of one-way travel between home and work if the employee is entitled to a commuter allowance.
 
 The commuter euro will now be quadrupled: for the period from May 2022 to June 2023, an additional commuter euro of EUR 0.50 per month (EUR 6 per year) per kilometer of one-way travel between home and work is also available.
 
 In the period from May 2022 to June 2023, the commuter euro will be EUR 8 per kilometer of one-way travel between home and work.
 
 For taxpayers who do not pay tax, the amount to be reimbursed during this period (SI refund, SI bonus) is increased by EUR 100. Accordingly, the amount to be reimbursed increases by EUR 60 in calendar year 2022 and by EUR 40 in calendar year 2023.
 
 In order to give employees the relief as quickly as possible, employers are obliged to take the higher values into account as soon as possible, but no later than August 31, 2022 by means of a roll-up.",https://www.bmf.gv.at/themen/steuern/arbeitnehmerinnenveranlagung/pendlerfoerderung-das-pendlerpauschale/informationen-zur-pendlerfoerderung.html,"In addition to the commuter flat rate, commuters can also use the commuter euro, which depends on the distance to the workplace, as a tax deduction. The prerequisite is the entitlement to a commuter allowance. The commuter euro is an annual amount and is calculated by multiplying the distance between home and work by ""two"". The commuter euro is equally available to recipients of the so-called “large” and the “small” commuter flat rate. For part-time employees, the commuter euro is aliquoted like the commuter flat rate. The commuter euro, like the travel tax credit, can also be taken into account by the employer in monthly payroll accounting.
 
 In the period from May 2022 to June 2023, commuters are also entitled to a commuter euro of EUR 0.50 a month per kilometer of one-way distance between home and work. The commuter euro, like the commuter flat rate, must also be adjusted according to the number of journeys per month.",,,,,,,,,,,,,,,,,,,,
Belgium,ratchet system,implemented,national,gov,measure fuel price,other,1,1,0,0,19,3,2022,31,3,2023,"https://finances.belgium.be/fr/douanes_accises/entreprises/accises/systeme-cliquet/contexte-general#:~:text=Le%2016%2F03%2F2022%2C,%C3%A0%20partir%20du%2019%2F03%2F","Along with the reduction of the excise rate, an ordinary ratchet system is planned (from 19/03/2022 to 30/09/2022 – measure that the Government has decided to extend until 31/03/2023), according to which the rate of the special excise duty will be gradually reduced to its level of 01/01/2022 in the event of a fall in prices.
 
 The ratchet system procedure is as follows:
 
 The special excise duty increases with the first reduction in the maximum price which leads to a reduction in the maximum price below EUR 1.70 per liter respectively for diesel or petrol, and with each subsequent reduction in the maximum price.
 The increase in the special excise duty is equal to half of the reduction in the maximum price excluding VAT.
 It is expected that at the end of the temporary measure, the excise rates will be reduced to their levels of 01/01/2022 if, under the ratchet system, these levels have not been reached by 31/03 /2023. [...]",https://finances.belgium.be/fr/Actualites/la-r%C3%A9duction-temporaire-du-droit-daccise-sp%C3%A9cial-et-le-syst%C3%A8me-de-cliquet,,,,,,,,,,,,,,,,,,,,,
Belgium,reduction of excise duties,implemented,national,gov,measure fuel price,reduce fuel tax,1,1,0,0,19,3,2022,31,12,2022,https://economie.fgov.be/fr/themes/energie/prix-de-lenergie/mesures-gouvernementales-et/reduction-daccises-pour,"The prices of petroleum products are capped in Belgium. They are calculated daily by the FPS Economy, on the basis of the program contract established between the Belgian state and the oil sector.
 
 The calculation formulas aim, on the one hand, to pass on the various costs of the production and supply chain; on the other hand, to protect the consumer against price fluctuations and rises.
 
 In this regard, road fuel prices (petrol and diesel) have risen considerably in recent weeks, particularly as a result of the conflict in Ukraine.
 
 This is why the government has decided to take temporary measures to mitigate the major impact that the current price increases are having for households and businesses, by lowering the excise rate for petrol and diesel at 144.6282 euros per 1,000 liters. This equates to a discount of 0.175 euro per liter at the pump. The level of the discount will also depend on the fluctuations of the international market and the application of the VAT rate.
 
 An ordinary ratchet system is also planned if prices were to fall on the international market to a level of 1.70 euro per liter at the pump. In this case, the excise rate would be increased with the aim of gradually bringing it back to its level of 1 January 2022.
 
 These measures are in effect from March 19 to December 31, 2022.",https://economie.fgov.be/fr/themes/energie/prix-de-lenergie/prix-maximum-des-produits,,"https://finances.belgium.be/fr/douanes_accises/entreprises/accises/systeme-cliquet/contexte-general#:~:text=Le%2016%2F03%2F2022%2C,%C3%A0%20partir%20du%2019%2F03%2F","On 16/03/2022, with regard to excise duties, the government decided to reduce the special excise duty on diesel oil used as fuel and gasoline by 144.6281 euros/1,000 liters, excluding 21% VAT (i.e. a reduction in the selling price at the pump of 175 euros/1,000 liters including VAT), from 19/03/2022 at 00:00. [...]",https://www.premier.be/fr/le-gouvernement-prend-de-nouvelles-mesures-de-lutte-contre-la-hausse-des-prix-de-l-energie,,https://www.ebvfinance.com/information-of-changes-in-excise-duty-rates,,,,,,,,,,,,,,,
Belgium,freezing public transport prices,implemented,national,gov,subsidy public transport,,0.5,1,1,1,1,7,2022,31,12,2100,https://www.premier.be/fr/le-gouvernement-prend-de-nouvelles-mesures-de-lutte-contre-la-hausse-des-prix-de-l-energie,The federal government will not apply the decision of the board of directors of the SNCB to increase the price of transport tickets by 4.5% from July 2022. The SNCB will receive compensation for the corresponding amount of 13 million euros in 2022. [...],https://www.vrt.be/vrtnws/de/2022/03/15/belgiens-regierung-erzielt-ein-energieabkommen-mws-und-verbrau/,,https://bx1.be/categories/news/aides-face-a-la-crise-stib-emploi-voici-les-mesures-du-gouvernement-bruxellois-pour-le-budget-2023/,,,,,,,,,,,,,,,,,,,
Belgium,Virtually free public transport (for certain groups),implemented,national,gov,subsidy public transport,,0.5,1,1,1,1,9,2022,31,12,2100,https://energie.wallonie.be/fr/08-09-2022-crise-energetique-nouvelles-mesures-adoptees-par-le-gouvernement-wallon.html?IDC=8187&IDD=162931,"Virtually free public transport : as a reminder, since September 1 , people over 65, 18-24 and those with BIM status can benefit from the TEC subscription at €1/month.",,,,,,,,,,,,,,,,,,,,,,
Bulgaria,fixed reduction in fuel price,implemented,national,gov,measure fuel price,subsidy fuel price,1,1,0,0,9,7,2022,30,12,2022,https://www.reuters.com/business/energy/europes-efforts-shield-households-energy-cost-spike-2022-03-21/,"The government will also offer a discount of 0.25 levs per litre of petrol, diesel and liquefied petroleum gas and methane from July until the end of the year and scrap excise duties on natural gas, electricity and methane.",https://www.investor.bg/a/516-politika/364577-otstapkata-ot-025-lv-za-litar-gorivo-se-udalzhava-do-kraya-na-godinata,"The caretaker government approved additional expenses under the budget of the Ministry of Finance for 2022 in the amount of BGN 38 million to extend the government's measure of BGN 0.25 compensation per liter of fuel when refueling at a gas station.
 
 With the additional funds, continuity of the implementation of the program for the payment of compensations to natural persons, end users of motor fuels, will be ensured, according to the measure, the press service of the cabinet reports.According to the Law on the State Budget of the Republic of Bulgaria for 2022, the administration of the compensation is carried out by the National Revenue Agency until December 31, 2022 inclusive.",https://www.investor.bg/a/333-byudzhet-i-finansi/355843-goriva-s-otstapka-shte-mogat-da-se-kupuvat-ot-9-yuli,"Starting tomorrow, July 9, citizens will be able to take advantage of the discount in the price of fuel in the amount of 0.25 leva per liter, stipulated by the Law on the Budget with its update.
 
 The changes in the law come into force at midnight, the National Revenue Agency (NRA) reports.
 
 However, not every gas station will provide the discount, as the law does not require operators to participate in the state program. It is recommended that, before refueling, customers ask at the facility if the discount of BGN 0.25 per liter applies, the NRA recommends. The discount will only be charged when filling up with the lowest priced fuel at the service station and when filling up a standard tank, not side tanks or additional containers.
 
 The compensation will be given for charging passenger cars - category M1, mopeds or motorcycles of category L, owned by individuals. Vehicle owners must present the small coupon to avail the discount.
 
 There will be no restrictions on the amount of fuel and the number of refills.",https://www.euractiv.com/section/energy-environment/news/bulgaria-announces-end-of-fuel-rebate-scheme/,"The fuel rebate scheme that currently gives Bulgarians 12.5 euro cents for every litre of fuel filled at the petrol station will stop from 1 December, Finance Minister Rositsa Velkova announced.
 
 The measure, which the Commission has criticised, will stop because parliament has not voted in favour of continuing it and the parity compensation which funds it has run out.
 
 “This measure is relatively problematic, as it is offered only for Bulgarian cars. This could disrupt the single market,” said the finance minister.",https://static.eurofound.europa.eu/covid19db/cases/BG-2022-28_2761.html,"Fuel users will be able to use a discount of 25 cents per litre on A95 petrol, diesel, gas or LPG (liquefied petroleum gas). The type of fuel needs to be the lowest priced, which means that the BGN 0.25 reduction cannot be applied when filling up with A98 petrol or diesel with additive. The discount will be available at petrol stations that have agreed to provide it, and there are no restrictions on the number of refills or the amount of fuel, according to the National Revenue Agency. The State Budget allocated BGN 150 million for this aid.
 
 The discount applies to private cars only and cannot be used for company cars. No invoice may be required when using this state aid.
 
 Drivers of leased vehicles may also benefit from the discount if an individual is registered as the user of the vehicle.
 
 It is also expected that propane-butane and methane prices will decrease further, as a reduction of VAT rate from 20% to 9% was also introduced.",,,,,,,,,,,,,,
